matrix,row,col
S,8404,13094
I,J,V
1962.0,1.0,1.0
3086.0,1.0,-1.0
3518.0,1.0,1.0
4360.0,1.0,-1.0
4366.0,1.0,1.0
1962.0,2.0,1.0
3086.0,2.0,-1.0
3518.0,2.0,1.0
4371.0,2.0,-1.0
4378.0,2.0,1.0
1970.0,3.0,-1.0
1992.0,3.0,1.0
2122.0,3.0,1.0
2210.0,3.0,-1.0
2642.0,3.0,-1.0
4768.0,3.0,1.0
1972.0,4.0,-1.0
1994.0,4.0,1.0
2125.0,4.0,1.0
2213.0,4.0,-1.0
2645.0,4.0,-1.0
4769.0,4.0,1.0
1986.0,5.0,-1.0
1992.0,5.0,1.0
2122.0,5.0,1.0
2642.0,5.0,-1.0
3518.0,5.0,1.0
1970.0,6.0,-1.0
1986.0,6.0,1.0
2210.0,6.0,-1.0
3518.0,6.0,-1.0
4768.0,6.0,1.0
1994.0,7.0,1.0
2638.0,7.0,1.0
2645.0,7.0,-1.0
4361.0,7.0,-1.0
4367.0,7.0,1.0
4890.0,7.0,-1.0
3523.0,8.0,-1.0
4112.0,8.0,1.0
4363.0,8.0,1.0
4368.0,8.0,-1.0
4891.0,8.0,-1.0
3518.0,9.0,-1.0
4110.0,9.0,1.0
4360.0,9.0,1.0
4366.0,9.0,-1.0
4889.0,9.0,-1.0
1962.0,10.0,-1.0
1970.0,10.0,1.0
3518.0,10.0,2.0
3526.0,10.0,-1.0
4371.0,10.0,-1.0
4378.0,10.0,1.0
1963.0,11.0,-1.0
1972.0,11.0,1.0
3521.0,11.0,2.0
3529.0,11.0,-1.0
4361.0,11.0,-1.0
4367.0,11.0,1.0
2032.0,12.0,1.0
2210.0,12.0,-1.0
3166.0,12.0,1.0
3170.0,12.0,-1.0
3518.0,12.0,1.0
3166.0,13.0,1.0
3170.0,13.0,-1.0
3518.0,13.0,1.0
5398.0,13.0,1.0
5460.0,13.0,-1.0
2848.0,14.0,-1.0
3053.0,14.0,-1.0
4985.0,14.0,1.0
2032.0,15.0,-1.0
2210.0,15.0,1.0
3518.0,15.0,-1.0
4661.0,15.0,-1.0
4889.0,15.0,1.0
3518.0,16.0,2.0
3526.0,16.0,-1.0
4243.0,16.0,-1.0
4371.0,16.0,-1.0
4378.0,16.0,1.0
4889.0,16.0,1.0
1117.0,17.0,-1.0
3526.0,17.0,1.0
4661.0,17.0,1.0
1117.0,18.0,-1.0
1461.0,18.0,1.0
454.0,19.0,-1.0
1461.0,19.0,1.0
2032.0,19.0,-1.0
2210.0,19.0,1.0
454.0,20.0,-1.0
1461.0,20.0,1.0
3518.0,20.0,1.0
3526.0,20.0,-1.0
4748.0,20.0,1.0
454.0,21.0,-1.0
938.0,21.0,1.0
3518.0,21.0,1.0
938.0,22.0,-1.0
1461.0,22.0,1.0
3526.0,22.0,-1.0
4748.0,22.0,1.0
454.0,23.0,-1.0
3301.0,23.0,1.0
3518.0,23.0,-1.0
4360.0,23.0,1.0
4366.0,23.0,-1.0
4748.0,23.0,1.0
2848.0,24.0,-1.0
3166.0,24.0,1.0
3301.0,24.0,-1.0
3166.0,25.0,-1.0
3170.0,25.0,1.0
3526.0,25.0,-1.0
4748.0,25.0,1.0
3170.0,26.0,-1.0
3358.0,26.0,1.0
2848.0,27.0,-1.0
3301.0,27.0,1.0
2032.0,28.0,1.0
2210.0,28.0,-1.0
3350.0,28.0,-1.0
3358.0,28.0,1.0
3518.0,28.0,1.0
3357.0,29.0,-1.0
3358.0,29.0,1.0
3353.0,30.0,1.0
3359.0,30.0,-1.0
3532.0,30.0,-1.0
4754.0,30.0,1.0
2638.0,31.0,1.0
3521.0,31.0,-1.0
4090.0,31.0,-1.0
4890.0,31.0,-1.0
4960.0,31.0,1.0
1994.0,32.0,1.0
2645.0,32.0,-1.0
2877.0,32.0,1.0
4960.0,32.0,-1.0
2242.0,33.0,-1.0
3350.0,33.0,1.0
2032.0,34.0,1.0
2210.0,34.0,-1.0
2242.0,34.0,-1.0
2243.0,34.0,1.0
3518.0,34.0,1.0
2032.0,35.0,-1.0
2122.0,35.0,1.0
2242.0,35.0,-1.0
2243.0,35.0,1.0
3518.0,35.0,1.0
2243.0,36.0,-1.0
3358.0,36.0,1.0
2243.0,37.0,-1.0
3170.0,37.0,1.0
1964.0,38.0,1.0
3087.0,38.0,-1.0
3531.0,38.0,2.0
3538.0,38.0,-1.0
2305.0,39.0,-1.0
2640.0,39.0,1.0
3353.0,39.0,-1.0
3359.0,39.0,1.0
4414.0,39.0,1.0
1962.0,40.0,1.0
3086.0,40.0,-1.0
3518.0,40.0,-1.0
3526.0,40.0,2.0
4371.0,40.0,1.0
4378.0,40.0,-1.0
4493.0,40.0,-1.0
3354.0,41.0,2.0
3533.0,41.0,-1.0
4194.0,41.0,-1.0
3518.0,42.0,3.0
3526.0,42.0,-1.0
4360.0,42.0,-2.0
4366.0,42.0,2.0
